;country;crop_name;crop_id;uncertainty_indicator;odds_ratio_days_heatwave;odds_ratio_days_coldwave;odds_ratio_days_drought;odds_ratio_days_flood;odds_ratio_exp_area_heatwaves;odds_ratio_exp_area_coldwaves;odds_ratio_exp_area_droughts;odds_ratio_exp_area_floods;max_likelihood_pseudo_R2;Wald_Test_p_val_days_heatwave;Wald_Test_p_val_days_coldwave;Wald_Test_p_val_days_drought;Wald_Test_p_val_days_flood;Wald_Test_p_val_exp_area_heatwaves;Wald_Test_p_val_exp_area_coldwaves;Wald_Test_p_val_exp_area_droughts;Wald_Test_p_val_exp_area_floods
254;SK;Temporary grassland;G1000;0.239;0.961341868718885;0.998037179013096;1.01070076263375;1.01745206153747;2.67303412606013;0.842288716880628;0.514129572349645;0.88248309609729;0.348974182024004;0.0329188252198088;0.905287763599418;0.230651244033005;0.64082386038292;0.00399144689792661;0.605954158064925;0.142458729134397;0.57652024505391
180;IT;Temporary grassland;G1000;0.109;0.978912046051427;1.15260543522828;1.04850240086201;0.948359897322085;1.52230754655235;0.0588239349669046;0.0742280350272861;1.12941097594893;0.346341879890348;0.351678666827558;0.00578271465321343;0.0425751564637612;0.259688270724939;0.420620776726918;0.00645190131470963;0.0280800731276309;0.723850810424572
68;CZ;Maize;C1500;0.457;0.975944050218992;1.00012084422082;1.00745305677594;0.997472388130768;2.34361504746418;0.823587351222147;0.670789681186918;0.988306812124563;0.345167687619779;0.307286926503813;0.99407438990598;0.182264664406335;0.85213458174412;0.0653644323076755;0.58053780278798;0.175471119573323;0.957378953523005
138;DE;Temporary grassland;G1000;0.195876215684792;0.806726844352459;1.00913147983252;1.01363251245867;1.78606037946278;33.860492794308;1.02644766287808;0.574371893460867;0.300110223677866;0.342268352785703;0.0528799379966732;0.647754759596074;0.0460446842478234;0.0818835636088556;0.0501450293940955;0.958739074794415;0.335608404807577;0.124229194209263
121;FR;Tobacco;I3000;0.954096729049405;0.999666430253622;1.01044996548442;0.985496966156574;1.0747959592115;0.824723160286574;0.569436710394298;1.9121406583388;1.87048691367225;0.341433462943976;0.992686316517822;0.787742203849884;0.201720397098096;0.672410384584266;0.781765008971078;0.510451497449749;0.372718747079276;0.160229898988283
124;FR;Green plants fodder;G0000;0.283;1.05377304897651;0.895314609172657;1.02158176905362;1.14389375329397;0.314065767464834;13.585756677812;0.393079225761186;0.538799492309692;0.340972862998866;0.287508389268357;0.0365878753125569;0.0812287359419992;0.532220083707459;0.189409966336792;0.0269198704938213;0.237550440663697;0.27807465881075
146;HU;Sorghum;C1700;0.196;1.01953788949075;0.998320044304018;1.0150607715917;0.956476492640206;1.2198169226581;0.9942152764327;0.36024914479965;1.03256865746335;0.338423305284137;0.35047351687923;0.926575116676181;0.146841143581334;0.535486806219652;0.601981414363536;0.988392573897456;0.10004329372762;0.927132604461418
152;HU;Hemp;I2200;0.043;1.00179459892686;0.986656729173245;1.02495928511773;1.0058530087583;1.4812392339837;1.43495719597295;0.200475250180942;0.935309512868585;0.336878297112881;0.921597153124625;0.442464668280472;0.0314191173678724;0.915084384079412;0.225667908732377;0.325947061249167;0.018517631399405;0.783168161277993
166;IT;Rye;C1200;0.205126883168925;0.996239511942473;1.12393970464382;0.963686556039037;1.01884868931312;0.805923684372249;0.123431647229921;7.4569145204797;0.792739702003139;0.334800554292155;0.864810606648875;0.0169859098089809;0.133220754445204;0.752532599387407;0.691767869759382;0.0322955739083719;0.0924244431312542;0.547080343534428
257;ES;Wheat & spelt;C1100;0.543;1.03299335537268;0.911732220443116;1.01573063275131;1.24070453092052;0.353457879083982;6.12818044220992;0.672910765292049;0.500283139658441;0.332905677812841;0.137986867774693;0.164858525226351;0.157433806813714;0.408479916069283;0.050626331339622;0.13906551687758;0.559978951521319;0.314047116075085
