"","year","country","heatwave","coldwave","drought","flood","firerisk"
"204",1983,"DK",0,0,0,0,41.48832
"205",1984,"DK",0,0,0,0,0
"206",1985,"DK",0,41,0,0,0
"207",1986,"DK",0,23,0,0,0
"208",1987,"DK",0,0,0,0,0
"209",1988,"DK",0,0,0,0,0
"210",1989,"DK",0,0,0,0,0
"211",1990,"DK",0,0,0,0,0
"212",1991,"DK",0,0,0,0,48.62291
"213",1992,"DK",0,0,0,0,0
"214",1993,"DK",0,0,0,0,0
"215",1994,"DK",0,0,0,0,0
"216",1995,"DK",0,0,0,0,0
"217",1996,"DK",0,0,0,0,0
"218",1997,"DK",27,0,0,0,0
"219",1998,"DK",0,23,0,0,0
"220",1999,"DK",0,0,0,0,0
"221",2000,"DK",0,0,0,0,0
"222",2001,"DK",0,0,0,0,0
"223",2002,"DK",19,0,0,0,0
"224",2003,"DK",0,0,0,0,53.09566
"225",2004,"DK",0,0,0,0,0
"226",2005,"DK",0,0,0,0,0
"227",2006,"DK",20,0,0,0,0
"228",2007,"DK",0,0,0,0,0
"229",2008,"DK",0,0,0,0,0
"230",2009,"DK",0,0,0,0,0
"231",2010,"DK",0,62,0,0,0
"232",2011,"DK",0,0,0,0,0
"233",2012,"DK",0,23,0,0,0
"234",2013,"DK",0,0,0,0,0
"235",2014,"DK",0,0,0,0,0
"236",2015,"DK",0,0,0,0,0
"237",2016,"DK",0,0,0,0,0
"238",2017,"DK",0,0,0,0,0
"239",2018,"DK",32,0,59.07482,0,93.35484
"240",2019,"DK",0,0,0,0,45.48387
"241",2020,"DK",17,0,0,0,0
"242",1981,"EE",0,0,0,0,0
"243",1982,"EE",0,0,0,0,0
"244",1983,"EE",0,0,0,0,45.42912
"245",1984,"EE",0,0,0,0,0
"246",1985,"EE",0,31,0,0,0
"247",1986,"EE",0,0,0,0,0
"248",1987,"EE",0,21,0,0,0
"249",1988,"EE",0,0,0,0,0
"250",1989,"EE",0,0,0,0,0
"251",1990,"EE",0,0,57.62424,0,0
"252",1991,"EE",0,0,0,0,0
"253",1992,"EE",0,0,0,0,58.06618
"254",1993,"EE",0,23,0,0,0
"255",1994,"EE",0,0,0,0,0
"256",1995,"EE",0,0,0,0,44.93696
"257",1996,"EE",0,0,0,0,0
"258",1997,"EE",17,0,0,0,0
"259",1998,"EE",0,24,0,0,0
"260",1999,"EE",0,0,0,0,0
"261",2000,"EE",0,0,0,0,0
"262",2001,"EE",0,0,0,0,0
"263",2002,"EE",0,33,116.1,0,0
"264",2003,"EE",0,0,0,0,0
"265",2004,"EE",0,0,0,0,0
"266",2005,"EE",0,0,0,0,0
"267",2006,"EE",0,0,78.0803,0,0
"268",2007,"EE",0,0,0,0,0
"269",2008,"EE",0,0,0,0,0
"270",2009,"EE",0,0,0,0,0
"271",2010,"EE",27,26,0,0,0
"272",2011,"EE",20,0,0,0,0
"273",2012,"EE",0,22,0,0,0
"274",2013,"EE",0,0,0,0,0
"275",2014,"EE",19,0,0,0,0
"276",2015,"EE",0,0,0,0,0
"277",2016,"EE",0,0,0,0,0
"278",2017,"EE",0,0,0,0,0
"279",2018,"EE",24,0,0,0,50.65657
"280",2019,"EE",24,0,0,0,0
"281",2020,"EE",0,0,0,0,0
"282",1981,"EL",0,48,0,0,0
"283",1982,"EL",0,0,0,0,0
"284",1983,"EL",0,0,0,0,0
"285",1984,"EL",0,0,0,0,39.56645
"286",1985,"EL",0,0,0,0,49.83727
"287",1986,"EL",0,0,0,0,0
"288",1987,"EL",0,0,0,0,0
"289",1988,"EL",0,21,0,0,52.10694
"290",1989,"EL",0,0,0,0,0
"291",1990,"EL",0,0,389.71244,0,0
"292",1991,"EL",0,107,0,0,0
"293",1992,"EL",0,0,0,0,41.68319
"294",1993,"EL",0,0,0,0,55.9969
"295",1994,"EL",0,0,0,2,40.80589
"296",1995,"EL",0,21,0,0,0
"297",1996,"EL",0,0,0,0,0
"298",1997,"EL",0,0,0,0,0
"299",1998,"EL",0,0,0,0,0
"300",1999,"EL",0,0,0,0,44.56219
"301",2000,"EL",0,0,160.17017,0,43.21155
"302",2001,"EL",0,44,82.27586,0,86.56187
"303",2002,"EL",0,0,106,2,58.17826
"304",2003,"EL",20,0,0,12,0
"305",2004,"EL",0,0,0,0,0
"306",2005,"EL",0,22,0,0,0
"307",2006,"EL",0,22,0,4,50.95443
"308",2007,"EL",66,0,64.34,12,80.00891
"309",2008,"EL",0,0,87.4,0,39.48276
"310",2009,"EL",0,0,0,0,0
"311",2010,"EL",22,0,58.91089,2,0
"312",2011,"EL",19,0,0,0,0
"313",2012,"EL",136,0,0,0,98.90562
"314",2013,"EL",0,0,0,0,42.23596
"315",2014,"EL",18,0,0,8,0
"316",2015,"EL",68,0,0,14,0
"317",2016,"EL",17,0,72.62626,0,0
"318",2017,"EL",48,0,0,4,0
"319",2018,"EL",29,0,60.15179,0,0
"320",2019,"EL",66,0,0,0,0
"321",2020,"EL",0,0,0,0,0
"322",1981,"ES",0,0,0,0,0
"323",1982,"ES",0,0,0,0,0
"324",1983,"ES",0,0,0,0,0
"325",1984,"ES",0,0,0,0,43.82933
"326",1985,"ES",0,95,0,0,83.36337
"327",1986,"ES",0,0,0,0,0
"328",1987,"ES",0,0,0,0,0
"329",1988,"ES",0,0,0,0,45.41588
"330",1989,"ES",0,0,0,0,52.2796
"331",1990,"ES",0,0,0,0,0
"332",1991,"ES",21,0,0,0,0
"333",1992,"ES",0,0,0,0,0
"334",1993,"ES",0,0,0,0,43.39429
"335",1994,"ES",37,0,309.80165,0,0
"336",1995,"ES",0,0,138.71153,0,0
"337",1996,"ES",0,0,0,5,0
"338",1997,"ES",0,0,0,8,0
"339",1998,"ES",0,0,0,0,0
"340",1999,"ES",0,0,68.49949,0,0
"341",2000,"ES",0,0,0,6,0
"342",2001,"ES",0,0,0,0,44.88053
"343",2002,"ES",0,0,0,0,0
"344",2003,"ES",122,0,0,0,0
"345",2004,"ES",0,0,0,0,0
"346",2005,"ES",0,45,256.02957,0,0
"347",2006,"ES",0,0,0,12,0
"348",2007,"ES",0,0,0,16,0
"349",2008,"ES",0,42,0,0,0
"350",2009,"ES",0,0,129.26279,0,83.20552
"351",2010,"ES",0,0,0,0,0
"352",2011,"ES",0,0,0,0,45
"353",2012,"ES",99,0,446.75132,2,234.177
"354",2013,"ES",0,0,0,0,0
"355",2014,"ES",0,0,0,0,0
"356",2015,"ES",136,0,63.30968,6,0
"357",2016,"ES",0,0,0,13,0
"358",2017,"ES",160,0,0,0,94.20679
"359",2018,"ES",0,0,0,0,0
"360",2019,"ES",87,0,247.82517,2,47.71429
"361",2020,"ES",84,0,0,0,0
"362",1981,"FI",0,0,0,0,0
"363",1982,"FI",0,0,0,0,0
"364",1983,"FI",0,21,0,0,0
"365",1984,"FI",0,0,0,0,0
"366",1985,"FI",0,88,0,0,0
"367",1986,"FI",0,48,0,0,0
"368",1987,"FI",0,55,0,0,0
"369",1988,"FI",19,0,0,0,0
"370",1989,"FI",0,0,0,0,0
"371",1990,"FI",0,0,0,0,0
"372",1991,"FI",0,0,0,0,0
"373",1992,"FI",0,28,0,0,0
"374",1993,"FI",0,0,0,0,0
"375",1994,"FI",0,0,0,0,0
"376",1995,"FI",0,0,0,0,0
"377",1996,"FI",0,0,64.75,0,0
"378",1997,"FI",19,0,0,0,0
"379",1998,"FI",0,28,0,0,0
"380",1999,"FI",0,25,0,0,0
"381",2000,"FI",0,0,0,0,0
"382",2001,"FI",0,21,0,0,0
"383",2002,"FI",44,71,79.1875,0,0
"384",2003,"FI",18,0,0,0,0
"385",2004,"FI",0,0,0,0,0
"386",2005,"FI",0,0,0,0,0
"387",2006,"FI",0,0,0,0,44.24599
"388",2007,"FI",0,0,0,0,0
"389",2008,"FI",0,0,0,0,0
"390",2009,"FI",0,0,0,0,0
"391",2010,"FI",22,60,0,0,0
"392",2011,"FI",19,0,0,0,0
"393",2012,"FI",0,0,0,0,47.7716
"394",2013,"FI",19,0,0,0,0
"395",2014,"FI",46,0,0,0,0
"396",2015,"FI",0,0,0,0,0
"397",2016,"FI",0,0,0,0,0
"398",2017,"FI",0,0,0,0,45.67284
"399",2018,"FI",53,0,79.5625,0,0
"400",2019,"FI",37,0,0,0,0
"401",2020,"FI",23,0,72.1875,0,0
"402",1981,"FR",0,0,0,0,0
"403",1982,"FR",0,0,0,0,0
"404",1983,"FR",0,0,0,3,0
"405",1984,"FR",0,0,0,0,0
"406",1985,"FR",0,349,0,0,175.6449
"407",1986,"FR",0,44,0,0,0
"408",1987,"FR",0,70,0,0,0
"409",1988,"FR",0,0,0,0,0
"410",1989,"FR",0,0,215.11024,0,368.11595
"411",1990,"FR",0,0,631.93831,0,395.32746
"412",1991,"FR",0,0,55.79716,0,0
"413",1992,"FR",0,0,0,2,0
"414",1993,"FR",0,21,0,0,0
"415",1994,"FR",0,0,0,0,0
"416",1995,"FR",0,0,0,0,0
"417",1996,"FR",0,0,0,6,298.02425
"418",1997,"FR",0,0,236.10643,0,0
"419",1998,"FR",0,0,0,0,0
"420",1999,"FR",0,0,0,4,53.68966
"421",2000,"FR",0,0,0,0,0
"422",2001,"FR",0,0,0,23,0
"423",2002,"FR",0,0,0,13,46.32759
"424",2003,"FR",272,0,879.16157,6,302.09728
"425",2004,"FR",0,0,0,0,0
"426",2005,"FR",0,76,55.95163,3,44.62484
"427",2006,"FR",88,0,57.70381,0,0
"428",2007,"FR",0,0,0,0,0
"429",2008,"FR",0,0,0,0,0
"430",2009,"FR",0,0,0,0,88.12666
"431",2010,"FR",0,65,0,6,0
