country;crop;crop_id;type;Scarecity;activity;pb;r.squared;zero_counter
AT;C1200;Rye;floods;0;AT_p008;0.0492759748024225;0.392262349068976;0.705882352941177
AT;C1200;Rye;floods;0;AT_p009;0.315064458346293;0.251056060061735;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p010;0.568818130460755;0.183430508941319;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p016;0.061517130081825;0.378281754950554;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p018;0.373871686916096;0.23361424138777;0.117647058823529
AT;C1200;Rye;floods;0;AT_p019;0.209683833694405;0.288231953335948;0.147058823529412
AT;C1200;Rye;floods;0;AT_p020;0.426430897611046;0.219218912656312;0.205882352941176
AT;C1200;Rye;floods;0;AT_p021;0.974873600853007;0.0578227340197476;0.0882352941176471
AT;C1200;Rye;floods;0;AT_p023;0.129628236586249;0.326633123299938;0.0882352941176471
AT;C1200;Rye;floods;0;AT_p024;0.761361515121486;0.136191841724842;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p030;0.758225338312932;0.137004635060242;0.147058823529412
AT;C1200;Rye;floods;0;AT_p031;0.826156961978376;0.118555317712691;0.147058823529412
AT;C1200;Rye;floods;0;AT_p032;0.548827229490297;0.188286315461591;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p033;0.862456644444939;0.107619797144568;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p040;0.503331873690115;0.199487763169338;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p043;0.781264753189996;0.130960072381145;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p044;0.0969374386525889;0.347731995813438;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p048;0.746598513727311;0.139993743289033;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p055;0.927386872214436;0.0840960827654037;0.176470588235294
AT;C1200;Rye;floods;0;AT_p059;0.0878507272705865;0.354581418985938;0.176470588235294
AT;C1200;Rye;floods;0;AT_p061;0.761684183450983;0.13610805055752;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p062;0.339479064831646;0.243609032479527;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p065;0.025552397037094;0.430704450084883;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p066;0.911597840839137;0.0905320164271693;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p067;0.437826297839261;0.216210182283304;0.205882352941176
AT;C1200;Rye;floods;0;AT_p069;0.24063462479578;0.276234773774655;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p070;0.84528261495103;0.112921825484955;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p079;0.0504516508670932;0.390802659556781;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p080;0.848433028505252;0.111968102537525;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p081;0.751735967829733;0.138677498689026;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p082;0.000462181256587578;0.604649880880257;0.5
AT;C1200;Rye;floods;0;AT_p083;0.206794254732509;0.289412998269119;0.205882352941176
AT;C1200;Rye;floods;0;AT_p084;0.053899497350049;0.386677915110102;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p085;0.451516525475512;0.212639673406742;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p086;0.605243015038135;0.17463953576021;0.852941176470588
AT;C1200;Rye;floods;0;AT_p087;0.91950594144532;0.0873886212094361;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p088;0.212864570005208;0.286944969029947;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p089;0.413073257039417;0.222792199840368;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p090;0.634640525945925;0.167560092765441;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p091;0.764339281292251;0.135417365040845;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p092;0.290453399295684;0.258920006442689;0.735294117647059
AT;C1200;Rye;floods;0;AT_p093;0.415531866858531;0.222130538510732;0.5
AT;C1200;Rye;floods;0;AT_p094;0.998455051221092;0.0237757118146847;0.941176470588235
AT;C1200;Rye;floods;0;AT_p096;0.800441479743093;0.125778726725813;0.0588235294117647
AT;C1200;Rye;floods;0;AT_p099;0.551395132557484;0.187660795431055;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p101;0.827036170613562;0.118301742452127;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p102;0.183509598856194;0.299383733944386;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p104;0.0054857254264108;0.507574384418726;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p106;0.315078153833881;0.251051789359289;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p107;0.0668670327576572;0.372879684524548;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p108;0.884597065595262;0.100344303365812;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p109;0.654787743648641;0.162695831883731;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p110;0.672912264564114;0.158299229554117;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p115;0.878051320322107;0.102555261560182;0.0294117647058824
AT;C1200;Rye;floods;0;AT_p118;0.964391464153491;0.0651640993691937;0.352941176470588
AT;C1300;Barley;floods;0;AT_p002;0.193235074036387;0.295115646732793;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p003;0.0625452379994636;0.377214710347722;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p004;0.153484166417073;0.313693619415231;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p005;0.76233983075999;0.135937693748055;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p006;0.685407592715901;0.155251340696326;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p007;0.493847049167915;0.201858409381056;0.470588235294118
AT;C1300;Barley;floods;0;AT_p008;0.429228778739066;0.218476931991835;0.705882352941177
AT;C1300;Barley;floods;0;AT_p009;0.67182092162114;0.15856470816249;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p010;0.807615178761751;0.123798541590794;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p016;0.243296269941884;0.275253193918083;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p018;0.872610372557065;0.104352844110822;0.117647058823529
AT;C1300;Barley;floods;0;AT_p019;0.578349618814625;0.181124762390296;0.147058823529412
AT;C1300;Barley;floods;0;AT_p020;0.939962981936303;0.0784296082036939;0.205882352941176
AT;C1300;Barley;floods;0;AT_p021;0.822507596684602;0.119602770277137;0.0882352941176471
AT;C1300;Barley;floods;0;AT_p023;0.261867946568333;0.268594937605734;0.0882352941176471
AT;C1300;Barley;floods;0;AT_p024;0.597306500307784;0.176551213031439;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p030;0.438166286115175;0.216120943930626;0.147058823529412
AT;C1300;Barley;floods;0;AT_p031;0.93558131293879;0.0804694258479991;0.147058823529412
AT;C1300;Barley;floods;0;AT_p032;0.189877707672357;0.296571301494561;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p033;0.704236983705611;0.150623719382668;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p040;0.915956563456069;0.0888177607254472;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p043;0.576889613843088;0.181477627683377;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p044;0.379477099746862;0.232032829436844;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p048;0.705312137094851;0.150357999197142;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p055;0.300370131515576;0.25570419042046;0.176470588235294
AT;C1300;Barley;floods;0;AT_p059;0.272237906085221;0.265010677878949;0.176470588235294
AT;C1300;Barley;floods;0;AT_p061;0.951244005688479;0.0727739529907697;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p062;0.362107760337775;0.236974292657686;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p065;0.221770914405756;0.28341087658971;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p066;0.956227440048765;0.070044998415402;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p067;0.86287398524313;0.107487610278899;0.205882352941176
AT;C1300;Barley;floods;0;AT_p069;0.371594916723858;0.234260110775014;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p070;0.98407470715393;0.0496482472789448;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p079;0.0490696229127601;0.39252151127575;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p080;0.563262587276655;0.184776988018422;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p081;0.629345727339304;0.168835964162398;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p082;0.157775114296529;0.311529127949077;0.5
AT;C1300;Barley;floods;0;AT_p083;0.20626287657592;0.289631441644355;0.205882352941176
AT;C1300;Barley;floods;0;AT_p084;0.532203915281519;0.192350896446137;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p085;0.912298065085766;0.090259505847675;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p086;0.719819805885511;0.146754091052566;0.852941176470588
AT;C1300;Barley;floods;0;AT_p087;0.920255429889701;0.0870827971679202;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p088;0.738337014111702;0.142096435617567;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p089;0.0753299282554234;0.365010300093595;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p090;0.0786673551453378;0.362102302159345;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p091;0.628099083747965;0.169136268431803;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p092;0.031220388954998;0.419402975459099;0.735294117647059
AT;C1300;Barley;floods;0;AT_p093;0.0300536528880471;0.421578624852286;0.5
AT;C1300;Barley;floods;0;AT_p094;0.896603149431418;0.0961333387137615;0.941176470588235
AT;C1300;Barley;floods;0;AT_p096;0.31006911160716;0.252621236994375;0.0588235294117647
AT;C1300;Barley;floods;0;AT_p099;0.565764981982975;0.184170237002308;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p101;0.902541504014472;0.0939653815647744;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p102;0.12797171271406;0.327596732869033;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p104;0.422975170924607;0.220138376525787;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p106;0.330548341035064;0.246295864185288;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p107;0.774393441809787;0.132781490471645;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p108;0.610073653569209;0.173476418905199;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p109;0.75801300688314;0.137059559895035;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p110;0.889531505856921;0.0986395179342161;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p115;0.850048814836291;0.111475839804873;0.0294117647058824
AT;C1300;Barley;floods;0;AT_p118;0.449759206682695;0.213095447138566;0.352941176470588
AT;C1500;Maize;floods;0.2;AT_p002;0.347392603496238;0.24126159739937;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p003;0.373643269306845;0.233678944889884;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p004;0.149419913849671;0.315785695848938;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p005;0.753429513592414;0.138242059460112;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p006;0.632455085352854;0.168086798669892;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p007;0.0138995406573634;0.463062216736926;0.470588235294118
AT;C1500;Maize;floods;0.2;AT_p008;0.205091414134407;0.290114413999343;0.705882352941177
AT;C1500;Maize;floods;0.2;AT_p009;0.856397180986777;0.109520294420367;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p010;0.238612709657919;0.276985305892846;0.0588235294117647
AT;C1500;Maize;floods;0.2;AT_p016;0.313806302818296;0.2514488674452;0.0294117647058824
