"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"RoW_p021",0,0.118303430751434,0.100573509070938,0.0631743054937937,0.0265393063767145,-0.126222164743569,0.130111485641705,0.185547325826606,0.0513359220085912,-0.00296952079180917,-0.0368816345092006,0.0773491419076229,0.21186338498286,0.00107659701902849,0.0146516648538207,0.174472263365891,0.0689610861927448,0.170378219173511,-0.039245175797746,0.0865863501818854,0.0250888237672157,0.104254632742447,0.022232639418629,-0.128873674334533,0.314010066776802,0.0152607805451072,-0.11311834371438,0.17828206868408,0.0591910373816329,0.0861893587740753,0.00954575136672479,0.0960130570421406,-0.0711248151907003,0.0717521679810782
"RoW_p022",0,0.00827130663239254,0.19136565047891,-0.104781455788278,0.00738748715150555,0.0017795355237063,0.0476630846731002,0.0892981855583798,0.0905200686807668,0.0114253348131717,0.0905134229765858,-0.0571527363632234,0.152174372931972,-0.0586574521813926,0.103523547970673,0.0209678955014389,-0.0679830677232087,0.0884463388402965,0.00285090407226159,0.05241182239562,-0.125053931777015,0.115400686333155,0.0199502817959521,-0.0187918566010835,0.174108663721195,-0.0527100898815233,-0.00302481223932695,0.145386123895806,-0.029340172281519,-0.0352420657005814,0.035336581442147,0.0350822130753478,0.0825636272023269,-0.0354312527363013
"RoW_p023",0,-0.0622565269468848,0.0560789317082012,0.0995295019415101,0.03823623228208,-0.042461146987818,-0.193174053298992,-0.0951710185621621,0.0717421795670848,0.32767798777901,-0.0823493018858317,-0.0668576532324681,0.0631209485472354,0.275204331560843,-0.118035407709696,-0.288593942682062,0.282703327723513,0.0549702886689805,-0.0233661758138705,0.201187253079571,0.0176198155230199,-0.116385473132365,0.28660482952738,-0.139211435122039,-0.0952119272951338,0.40007394884651,-0.114933294282614,0.138785622812402,-0.125274191129892,0.0958584896496672,0.076868072407679,0.0409594733908927,0.0681098200821557,0.112308780224157
"RoW_p024",0,0.083953957962037,-0.0523398696048138,0.151099211870418,0.1181017572951,0.106320001618225,0.0502849487599878,-0.136896584304727,0.0834241692262997,0.201437637228759,-0.0178709388331607,0.0622485315759886,-0.178991408882067,0.202430414726732,0.0790747490073309,-0.0928858767715814,0.0051175898004313,-0.00296647802472275,0.269948573496606,0.0619851547724918,-0.0580976593186963,-0.041257031948241,0.00925151390070447,0.136625106545958,-0.0629420240751607,0.118334515831455,-0.0401633095804475,0.0990293270029373,0.0133336812339672,-0.107184761383555,-0.006801918451189,0.0798008149966739,0.0527131104656588,0.0385829466095238
"RoW_p025",0,0.0359785490394377,0.0988455166658489,-0.0266194483278692,0.0530700036931785,0.102546501303279,-0.145768228942408,-0.111862186607351,0.0836682213083278,0.120564589343793,-0.0486920332736113,-0.0231923828714144,-0.00145845435106962,-0.0226698645627647,-0.00691603688854367,0.134583314638111,-0.0928372609233718,0.052862942425452,0.286926110010412,-0.0385478297113,0.063490889548171,0.0797930116381844,-0.0534150658616927,-0.0784602046213767,0.0797122218137248,0.148597737019547,-0.0251877872461202,-0.0489127445466641,0.0242685436433236,-0.126003785682285,-0.00561999322140419,0.0675369347814139,-0.0219390794926656,0.190326022221533
"RoW_p026",0,-0.00146742515866589,-0.0341636192756753,0.0374874793439797,0.140345444293416,0.00764880306319054,0.0352132072328049,0.0281429985191953,0.0371125522203806,0.0353957762172043,-0.0283002580826222,0.0301885160555618,-0.0195158956671977,0.00628777937849398,0.0395132122621009,0.025818325896506,0.0293257431316522,0.0153916865897119,0.0111468511355348,0.0427953107130444,0.00679035968138427,0.0576802164270966,-0.0221351300163197,0.016956437551528,-0.019711312825653,-0.0240801584362592,0.0565087218888798,-0.00534121843627925,-0.0153940806167885,-0.0128233780517905,-0.0137442885454804,-0.0185962157264449,0.11233411881824,-0.0220314344586659
"RoW_p027",0,-0.00985739540573232,-0.0362365474072375,-0.0255898744004214,0.128724966720303,-0.0604282716784912,0.102055491013096,-0.0701337728588146,-0.00912144309320035,0.116489851281306,0.102178998732668,-0.0771890307970236,-0.00649691868516606,0.0121517463524463,0.0723995703793119,0.121935861123538,-0.0929842921868013,0.132656746630554,0.0861047739333157,-0.0190201560221589,0.0550996036703395,0.0157574681028812,0.0179333967982635,0.0421995406662808,0.112959955246553,0.0913976143118149,0.141842327959083,-0.00154538151536524,0.110883216571479,-0.0770287971701746,0.0108129012550475,0.0221002575339585,0.0358276936215219,0.10642181961302
"RoW_p028",0,0.0260520560242805,0.102975015936499,0.110523340879253,0.0338135180469553,0.0381453528466462,0.0625140758114114,0.17637780427684,0.032951382157843,0.0852236001720427,0.0565276793690028,0.064712175604684,-0.00381082156264718,0.157968934528884,0.052431964978698,0.071251834586129,0.0527371273022466,0.10983780588485,0.0876981669439197,0.113715026527852,0.0770043619017704,-0.0146686288334986,0.101503260343303,0.0141233855794422,0.253183527101366,0.0934143117356046,0.0423690858364392,0.053684923191793,0.00492531105864631,0.0256818372806657,-0.00629582866910138,0.219877607718191,0.00623537778082971,0.016135899037541
"RoW_p029",0,-0.239858787206998,0.20969913580956,-0.146540357601848,0.438983705830145,-0.0373444546683815,-0.0326466622808335,-0.0402982198836073,0.205506475117572,-0.295756989736243,1.39288374464748,-0.501974050047846,0.687856164642879,-0.253522976039992,0.303424207932052,-0.455746396118337,0.827159632762193,-0.0581354936663527,0.179699167073716,-0.090731186141611,0.304732326719061,-0.278316915115586,0.227477567851066,-0.0362580117576807,0.208883726960009,0.0269813320860244,0.0524470898051812,-0.045730991688079,-0.0774752853530653,0.247879060354647,-0.0960625985525724,0.05865186969165,0.156911600567779,0.0103502730052413
"RoW_p030",0,0.0608520086022704,0.0865040766647871,-0.0102883294284975,0.0676956978963734,-0.0465002150069788,-0.0393176428631781,-0.0366034524256248,0.0839076204476596,-0.0137957145950599,0.0600173986511061,-0.0149377813772262,-0.0429610297798121,0.0141960451813664,0.0234629596328161,-0.0275911963431467,-0.0216926498224876,0.0934335495417033,0.0197876588869183,0.0450619702170794,-0.0321384835001967,0.0185589145715263,0.0605953624687363,-0.0219390545219386,0.0650289353383193,0.151878886336659,-0.0294798523388184,-0.0390902309684422,0.0350322106498401,0.0384540003830802,0.00640479548279055,-0.00728799300006118,0.0244183870504841,-0.0295632825563417
