"","year","country","heatwave","coldwave","drought","flood","firerisk"
"160",2020,"CH",9,5,36.103594,0,21.653333
"161",1981,"CZ",4,16,20.215728,0,8.071162
"162",1982,"CZ",6,14,15.254351,0,23.365254
"163",1983,"CZ",7,15,28.568182,0,49.622886
"164",1984,"CZ",0,5,9.708061,0,12.154404
"165",1985,"CZ",4,41,5.827586,0,18.346804
"166",1986,"CZ",7,18,6.319005,0,22.920492
"167",1987,"CZ",0,19,8.346667,0,10.9119262
"168",1988,"CZ",5,12,16.279736,0,12.665935
"169",1989,"CZ",6,3,9.69378,0,12.444762
"170",1990,"CZ",3,6,39.450861,0,37.0481
"171",1991,"CZ",0,21,22.822973,0,30.119262
"172",1992,"CZ",14,0,62.95542,0,44.232594
"173",1993,"CZ",0,23,36.295082,0,18.450692
"174",1994,"CZ",17,15,38.661601,0,37.815506
"175",1995,"CZ",0,13,10.690909,0,15.020206
"176",1996,"CZ",3,24,12.414815,2,7.309027
"177",1997,"CZ",4,13,10.75,1,14.669449
"178",1998,"CZ",3,12,21.750365,1,9.233253
"179",1999,"CZ",3,9,11.641884,0,22.747419
"180",2000,"CZ",11,3,34.500519,6,23.284208
"181",2001,"CZ",3,8,8.969231,0,6.057105
"182",2002,"CZ",5,14,13.13489,24,9.808039
"183",2003,"CZ",16,15,110.375887,0,56.519438
"184",2004,"CZ",3,7,23.781955,0,29.110257
"185",2005,"CZ",3,7,13.214043,7,21.464529
"186",2006,"CZ",15,9,21.056471,24,37.5906
"187",2007,"CZ",6,8,39.31307,0,11.762794
"188",2008,"CZ",3,0,7.533981,0,14.356688
"189",2009,"CZ",0,13,23.754386,11,14.392269
"190",2010,"CZ",11,19,8.723361,17,14.224028
"191",2011,"CZ",6,5,33.41031,0,7.904459
"192",2012,"CZ",19,22,39.726444,0,8.412903
"193",2013,"CZ",17,8,12.242775,31,17.955414
"194",2014,"CZ",6,3,42.698477,0,16.834395
"195",2015,"CZ",30,4,61.353597,0,43.579618
"196",2016,"CZ",6,12,11.769036,0,20.547771
"197",2017,"CZ",16,4,32.295015,0,20.541401
"198",2018,"CZ",20,6,91.312057,0,56.757962
"199",2019,"CZ",26,3,56.550152,0,29.057325
"200",2020,"CZ",6,0,42.66768,0,11.228758
"201",1981,"DE",6,231,123.397274,0,55.392182
"202",1982,"DE",111,169,451.264879,0,398.876629
"203",1983,"DE",55,101,530.198515,0,599.959946
"204",1984,"DE",3,32,178.035514,0,139.702966
"205",1985,"DE",3,591,65.498577,0,243.50706
"206",1986,"DE",9,311,83.031652,0,226.153564
"207",1987,"DE",0,301,78.453086,0,93.9081447
"208",1988,"DE",0,102,298.847652,1,192.664137
"209",1989,"DE",9,7,375.289761,0,435.38275
"210",1990,"DE",44,20,443.311424,0,412.804717
"211",1991,"DE",25,144,538.68869,1,580.290095
"212",1992,"DE",85,46,503.973767,0,474.51479
"213",1993,"DE",0,257,533.916466,4,117.94553
"214",1994,"DE",179,189,274.112184,20,386.547215
"215",1995,"DE",60,135,306.553733,0,393.221818
"216",1996,"DE",6,344,275.96135,0,202.347705
"217",1997,"DE",91,217,216.834586,6,424.130566
"218",1998,"DE",10,247,133.739003,0,103.381618
"219",1999,"DE",13,59,206.417824,2,388.203007
"220",2000,"DE",36,9,236.093931,0,157.977781
"221",2001,"DE",61,60,99.04812,0,150.726912
"222",2002,"DE",74,228,241.017981,0,215.422806
"223",2003,"DE",232,216,1647.929607,0,737.965082
"224",2004,"DE",43,32,165.686025,0,326.589892
"225",2005,"DE",35,80,177.664413,2,417.336002
"226",2006,"DE",192,38,391.037957,6,553.96152
"227",2007,"DE",61,48,506.685541,1,101.673593
"228",2008,"DE",35,3,360.893105,0,283.210563
"229",2009,"DE",0,100,366.295491,1,371.481972
"230",2010,"DE",110,488,357.69274,2,357.888649
"231",2011,"DE",43,52,1377.71482,14,171.462473
"232",2012,"DE",58,318,418.479968,0,113.667793
"233",2013,"DE",89,104,203.318002,24,235.060553
"234",2014,"DE",89,41,606.983053,0,154.020569
"235",2015,"DE",187,80,642.060315,0,318.202579
"236",2016,"DE",86,155,480.556408,0,381.326439
"237",2017,"DE",73,70,278.189467,9,122.770915
"238",2018,"DE",257,64,1982.735815,0,1365.937088
"239",2019,"DE",307,41,919.099958,0,612.661042
"240",2020,"DE",204,8,1534.75816,0,467.438518
"241",1981,"DK",0,24,11.801471,0,6.444793
"242",1982,"DK",12,14,12.033149,0,21.16092
"243",1983,"DK",3,3,36.127737,0,45.429119
"244",1984,"DK",0,5,13.991837,0,17.386625
"245",1985,"DK",0,41,5.111111,0,11.540927
"246",1986,"DK",0,23,10.230769,0,21.118077
"247",1987,"DK",0,15,11.355042,0,7.6454197
"248",1988,"DK",7,9,15.737589,0,10.554859
"249",1989,"DK",5,0,34.15146,0,35.914664
"250",1990,"DK",0,0,15.602911,0,17.372692
"251",1991,"DK",3,3,20.497175,0,24.237548
"252",1992,"DK",14,11,48.286496,0,58.066179
"253",1993,"DK",0,13,51.191606,0,13.675723
"254",1994,"DK",13,9,30.210238,0,30.473354
"255",1995,"DK",4,10,37.19708,0,44.936956
"256",1996,"DK",3,18,33.992674,0,34.609195
"257",1997,"DK",27,9,19.998162,0,26.491815
"258",1998,"DK",0,23,0,0,7.811564
"259",1999,"DK",4,0,7.992126,0,15.77325
"260",2000,"DK",0,0,6.821782,0,8.883316
"261",2001,"DK",3,4,6.431907,0,7.408917
"262",2002,"DK",19,20,33.729927,0,25.819227
"263",2003,"DK",8,13,36.187956,0,27.734587
"264",2004,"DK",8,0,9.585009,0,14.583769
"265",2005,"DK",3,3,13.147132,0,22.42877
"266",2006,"DK",20,0,17.50625,0,18.22989
"267",2007,"DK",7,4,34.75,0,10.153605
"268",2008,"DK",10,3,29.94708,0,29.15674
"269",2009,"DK",7,8,19.37123,0,23.552421
"270",2010,"DK",7,62,8.19084,0,13.28248
"271",2011,"DK",0,6,30.4708,0,3.861702
"272",2012,"DK",3,23,17.653257,0,7.060606
"273",2013,"DK",4,13,33.380952,0,11.959596
"274",2014,"DK",12,7,15.612705,0,12.080808
