"","country","crop","crop_id","type","Scarecity","activity","pb","r.squared","zero_counter"
"108","AT","R2000","Sugar beet","heat waves","1","AT_p016","0.0139818092462503","0.46276182479699","0.0294117647058824"
"109","AT","R2000","Sugar beet","heat waves","1","AT_p018","0.000541491560061196","0.599189053697976","0.117647058823529"
"110","AT","R2000","Sugar beet","heat waves","1","AT_p019","0.176585977867075","0.302522447467614","0.147058823529412"
"111","AT","R2000","Sugar beet","heat waves","1","AT_p021","0.916681367871909","0.0885284283942647","0.0882352941176471"
"112","AT","R2000","Sugar beet","heat waves","1","AT_p023","0.000276227234029622","0.621796953720215","0.0882352941176471"
"113","AT","R2000","Sugar beet","heat waves","1","AT_p024","0.00752722107597154","0.493022155904993","0.0588235294117647"
"114","AT","R2000","Sugar beet","heat waves","1","AT_p030","0.0992985813075437","0.346035632877809","0.147058823529412"
"115","AT","R2000","Sugar beet","heat waves","1","AT_p031","0.232288631586146","0.279360823018455","0.147058823529412"
"116","AT","R2000","Sugar beet","heat waves","1","AT_p032","0.0434458676995627","0.399957998093838","0.0588235294117647"
"117","AT","R2000","Sugar beet","heat waves","1","AT_p033","0.163227313721499","0.308840879510958","0.0588235294117647"
"118","AT","R2000","Sugar beet","heat waves","1","AT_p040","0.97945639790695","0.0540322540609038","0.0294117647058824"
"119","AT","R2000","Sugar beet","heat waves","1","AT_p043","0.929548959430376","0.083160944523964","0.0294117647058824"
"120","AT","R2000","Sugar beet","heat waves","1","AT_p044","0.857790048501449","0.109086469417598","0.0294117647058824"
"121","AT","R2000","Sugar beet","heat waves","1","AT_p048","0.292574931349082","0.258226392924157","0.0294117647058824"
"122","AT","R2000","Sugar beet","heat waves","1","AT_p055","1.85690468215685e-05","0.698804293265867","0.176470588235294"
"123","AT","R2000","Sugar beet","heat waves","1","AT_p059","0.977125131386053","0.056017786744965","0.176470588235294"
"124","AT","R2000","Sugar beet","heat waves","1","AT_p061","0.964429811541397","0.0651397340988383","0.0294117647058824"
"125","AT","R2000","Sugar beet","heat waves","1","AT_p062","0.297100883632033","0.256757017446232","0.0294117647058824"
"126","AT","R2000","Sugar beet","heat waves","1","AT_p065","0.14674274758747","0.317187109132915","0.0294117647058824"
"127","AT","R2000","Sugar beet","heat waves","1","AT_p066","0.179455170907188","0.301211132707003","0.0294117647058824"
"128","AT","R2000","Sugar beet","heat waves","1","AT_p069","0.0312525000981507","0.419344072494504","0.0294117647058824"
"129","AT","R2000","Sugar beet","heat waves","1","AT_p070","0.915869275615953","0.0888525202769403","0.0294117647058824"
"130","AT","R2000","Sugar beet","heat waves","1","AT_p079","0.785077987498291","0.129941727387919","0.0294117647058824"
"131","AT","R2000","Sugar beet","heat waves","1","AT_p080","0.936985926955965","0.0798238204624854","0.0588235294117647"
"132","AT","R2000","Sugar beet","heat waves","1","AT_p081","0.0533473352794541","0.387323588307596","0.0588235294117647"
"133","AT","R2000","Sugar beet","heat waves","1","AT_p084","0.2268350989758","0.281444805438696","0.0588235294117647"
"134","AT","R2000","Sugar beet","heat waves","1","AT_p085","0.619725346900118","0.171152769126208","0.0294117647058824"
"135","AT","R2000","Sugar beet","heat waves","1","AT_p087","0.676031601829084","0.157539818821779","0.0294117647058824"
"136","AT","R2000","Sugar beet","heat waves","1","AT_p088","0.386480702980487","0.230073825458681","0.0294117647058824"
"137","AT","R2000","Sugar beet","heat waves","1","AT_p089","0.489362923432984","0.202984316003309","0.0294117647058824"
"138","AT","R2000","Sugar beet","heat waves","1","AT_p090","0.134562262142219","0.323817505818535","0.0294117647058824"
"139","AT","R2000","Sugar beet","heat waves","1","AT_p091","0.275039080714808","0.26405759261215","0.0294117647058824"
"140","AT","R2000","Sugar beet","heat waves","1","AT_p096","0.0756714441705602","0.364708024460125","0.0588235294117647"
"141","AT","R2000","Sugar beet","heat waves","1","AT_p099","0.888522726516045","0.0989908492096079","0.0294117647058824"
"142","AT","R2000","Sugar beet","heat waves","1","AT_p101","0.339602282674907","0.243572246245983","0.0294117647058824"
"143","AT","R2000","Sugar beet","heat waves","1","AT_p102","0.950854755190856","0.0729804191780975","0.0294117647058824"
"144","AT","R2000","Sugar beet","heat waves","1","AT_p104","0.947643520924527","0.074650286790236","0.0294117647058824"
"145","AT","R2000","Sugar beet","heat waves","1","AT_p106","0.4822627498942","0.204774258957573","0.0294117647058824"
"146","AT","R2000","Sugar beet","heat waves","1","AT_p107","0.0804930245123395","0.360553220649109","0.0294117647058824"
"147","AT","R2000","Sugar beet","heat waves","1","AT_p108","0.00903718150641255","0.484343043694611","0.0294117647058824"
"148","AT","R2000","Sugar beet","heat waves","1","AT_p109","0.417521093369576","0.221596532155801","0.0294117647058824"
"149","AT","R2000","Sugar beet","heat waves","1","AT_p110","0.689724108938778","0.154194508731605","0.0294117647058824"
"150","AT","R2000","Sugar beet","heat waves","1","AT_p115","0.584251563360347","0.179699371744297","0.0294117647058824"
"151","AT","I1120","Sunflower","heat waves","0.9","AT_p002","0.448707597741691","0.213368539205317","0.0294117647058824"
"152","AT","I1120","Sunflower","heat waves","0.9","AT_p003","0.730163208030118","0.144161225435461","0.0294117647058824"
"153","AT","I1120","Sunflower","heat waves","0.9","AT_p004","0.298436557383268","0.256326023066512","0.0294117647058824"
